|Название|О товаре|Производитель|Торговая марка|Страна|Вес|Объем|Состав|Вид|Энергетическая ценность|Белки|Жиры|Углеводы|Срок годности|Стоимость|IMG URL|URL
857|Чипсы Amica Chips Картофельные классические 50г||Amica Chips Spa|Amica Chips|Италия|0.05 кг||Картофель, масло подсолнечное (34%), соль||555.0|6.5 г|34 г|54 г|300 дней||https://media.vprok.ru/products/x700/nv/jk/43ggj6oqswohbg2riykw5rfxn6aejknv.jpeg|https://www.vprok.ru/product/amica-chips-chip-kart-kl-or-am-ch-0-05kg--1078801
858|Колбаса Рублевский Докторская вареная 560г|Колбаса Рублевский Докторская вареная 560г - готовый к употреблению мясной продукт высшей категории. По традиции готовится из двух сортов отборного охлажденного мяса: говядины и свинины. В состав входит сухое молоко, придающее вкусу колбасы легкий сливочный оттенок. Мускатный орех добавляет пикантную нотку и приятный аромат. Продукт имеет нежно-розовый цвет и обладает мягкой однородной текстурой. Идеально подходит для приготовления нарезок, закусок, салатов, бутербродов. Вакуумная упаковка надежно сохраняет свежесть и вкусовые свойства в пределах всего срока годности. «Рублевский» тщательно контролирует качество исходного сырья и уделяет серьезное внимание гигиене производства. МПЗ использует самое современное оборудование и находится в непрерывном поиске инноваций.|МПЗ Москворецкий|Рублевский|Россия|0.56 кг||Свиная, говядина, вода, молоко сухое, шпик, посолочная смесь (соль, фиксатор окраски, нитрит натрия), яичный порошок, сахар, экстракт пряностей (орех мускатный), усилитель вкуса и запаха: глутамат натрия, антиокислитель||228.0|12 г|20 г|0 г|30 дней|599₽/шт|https://media.vprok.ru/products/x700/3h/vx/dblzo32siawnncvfxxx6sv2pcyg4vx3h.jpeg|https://www.vprok.ru/product/rublevskiy-rubl-kolb-dokt-rubl-var-vs560g--379121
859|Икра Ararat Баклажанная 460г||ПК Арарат|Ararat|Армения|0.46 кг||Баклажаны, перец, лук, морковь, томатная паста, подсолнечное масло, соль поваренная пищевая, петрушка, сахар песок, чеснок||116.0|1.2 г|9 г|7.5 г|1095 дней|179,9₽/шт|https://media.vprok.ru/products/x700/mf/kx/7nx5vheiqifxnrvd5eoatwzteumnkxmf.jpeg|https://www.vprok.ru/product/ararat-ararat-ikra-baklajan-ster-460g--986942
860|Мука Garnec Рисовая цельнозерновая без глютена 500г|Мука Гарнец Рисовая цельнозерновая 500г – универсальная мука, изготовленная путем помола цельной рисовой крупы. Это ценный источник витаминов, минералов, белка и растительной клетчатки. Важное достоинство рисовой муки – отсутствие в ней глютена, способного вызывать аллергические реакции и нарушать работу пищеварительной системы. Ее можно использовать для приготовления абсолютно любой выпечки, а также добавлять в различные блюда. Продукция торговой марки «Гарнец» производится из высококачественного, тщательно отобранного сырья. Она не содержит ГМО, красителей, консервантов, ароматизаторов, вредных искусственных добавок, поэтому идеально впишется в рацион людей, придерживающихся здорового питания.|Гарнец|Garnec|Россия|0.5 кг||Мука рисовая цельнозерновая без глютена|Рисовая|345.0|7 г|0.5 г|78 г|540 дней|129,9₽/шт|https://media.vprok.ru/products/x700/jt/5n/ztrm4nfof3cjcubdgwhrqsohvjdj5njt.jpeg|https://www.vprok.ru/product/garnec-garn-muka-r-tszer-bg-0-5kg--721157
861|Пирожки Ioniki с сыром Фета шпинатом и оливковым маслом 500г||Ioniki Sfoliata S.A.|Ioniki|Греция|0.5 кг||Тесто 64%: мука пшеничная; вода; растительные масла (масло подсолнечное рафинированное, масло хлопковое рафинированное, масло пальмовое рафинированное); соль; глюкоза; оливковое масло Экстра Вирджин 2%;  Начинка 36%: шпинат 22%; лук; сыр Фета 5% (молоко овечье, молоко козье, поваренная соль, сычужный фермент, лактобактерии); сыр Мизитра 5% (молоко овечье, молоко козье, поваренная соль, молочная сыворотка); масло подсолнечное рафинированное; яйцо куриное; укроп 0,2%; соль; сушеный чеснок||291.0|6.4 г|16.5 г|28.3 г|548 дней|492₽/шт|https://media.vprok.ru/products/x700/yw/4t/flcztfvorhz3bt6nxajz4rwhwrs24tyw.jpeg|https://www.vprok.ru/product/ioniki-ion-pir-fil-s-fshol-m-ek-v500g--877163
862|Вобла вяленая 300г||Континент-Н||Россия|0.3 кг||Рыба, соль||235.0|46 г|5.5 г||180 дней|310₽/шт|https://media.vprok.ru/products/x700/od/il/6ew3gf5femk4uqut32wzxj5j2zs5ilod.jpeg|https://www.vprok.ru/product/kontinent-n-tender-vobla-vyalenaya-300g--309106
863|Майонез Слобода на Перепелиных яйцах 67% 800мл|Майонез Слобода на Перепелиных яйцах 67% 800мл производится на основе 100% натуральных ингредиентов без использования искусственных добавок. Содержит перепелиные яйца, которые являются ценным источником витаминов, микроэлементов и незаменимых аминокислот. Обладает изысканным вкусом с деликатными сливочными нотками, имеет нежную консистенцию. В его составе нет ГМО, консервантов, крахмала, усилителей вкуса. Запатентованная система контроля качества «Органик-контроль» позволяет выбрать для продуктов ТМ «Слобода» самые качественные и свежие природные ингредиенты. Современная высокотехнологичная упаковка надежно сохраняет отменные вкусовые качества, полезные свойства и питательную ценность майонеза.|Эфко|Слобода|Россия||0.8 л|Подсолнечное и оливковое масла, вода, продукты яичные (яичный желток, меланж из перепелиных яиц), сахар, соль поваренная, уксус, экстракт паприки, горчичное масло|На перепелиных яйцах|610.0|0.5 г|67 г|1.2 г|90 дней|230₽/шт|https://media.vprok.ru/products/x700/7w/ld/w3kjttthwhf3pf6i2soijuwe6pield7w.jpeg|https://www.vprok.ru/product/sloboda-slob-mayon-per-yayts-67-800ml--352219
864|Сардины Adriatic Queen в растительном масле с лимоном 105г|Сардины Adriatic Queen в растительном масле с лимоном 105г производятся из высококачественной рыбы, выловленной в Адриатическом море, с добавлением морской соли, лимона и свежих растительных масел. Обладают оригинальным вкусом, в котором рыбные нотки гармонично переплетаются с освежающими цитрусовыми оттенками. Сардина – промысловая рыба, относящаяся к семейству сельдевых. Ее мясо богато ценными микроэлементами, антиоксидантами, витаминами группы В и полиненасыщенными жирными кислотами Омега-3. Продукт полностью готов к употреблению. Его можно подавать к столу в самостоятельном виде, а также использовать для приготовления различных блюд: супов, салатов, закусок. Жестяная баночка оснащена удобным ключом для открывания.|Sardina d.o.o.|Adriatic Queen|Хорватия|0.105 кг||сардины (sardina pilchardus), масла растительные (подсолнечное, рапсовое, соевое), лимон, соль морская пищевая||272.0|18.6 г|21.8 г||2190 дней|242₽/шт|https://media.vprok.ru/products/x700/go/cp/u7iljg222ycpk7rzphgccspif46ocpgo.jpeg|https://www.vprok.ru/product/adriatic-queen-adriatic-queen-sardiny-v-rastitelnom-masle-s-limonom-105-gr-30--1191654
865|Напиток Овсяша Соево-банановый 1.5% 1л||Южная соковая компания|Овсяша|Россия||1 л|Вода, банановое пюре, соевая мука, масло рапсовое, соевый белок (изолят), витаминно-минеральный премикс (витамин D2, витамин В2 (рибофлавин), кальций (трикальций фосфат, кальция карбонат), соль, натуральный ароматизатор, бета-каротин – как краситель, загуститель – геллановая камедь. Витаминно-минеральный премикс, как источник витаминов D2, В2 и кальция||40.0|2 г|1.8 г|3.5 г|365 дней|179₽/шт|https://media.vprok.ru/products/x700/q4/qw/v7okdeqvdi4dpimyuxweuq7mzzzgqwq4.jpeg|https://www.vprok.ru/product/ovsyasha-napitok-ovsyasha-1-0l-soevo-bananovyy-obogasch-1-5-mdj--1236630
866|Карамель Рот Фронт Мятная 250г|"Карамель Мятная 250г - это известный леденец с освежающим ароматом душистой мяты, произведенный на одном из старейших кондитерских предприятий России ""Рот Фронт"" (в 2016 году фабрике исполнилось 190 лет). Продукт может употребляться в Пост. Каждая конфета упакована в индивидуальную обертку, поэтому вам будет удобно отсыпать горсть в карман или сумочку, чтобы потом угостить своих друзей или коллег и полакомиться самому. При хранении рекомендуется избегать попадания прямых солнечных лучей. Не содержит красителей."|Рот Фронт||Россия|0.25 кг||"Сахар, патока, вода питьевая, ароматизатор натуральный ""Мята"""||390.0|0 г|0.1 г|97 г|455 дней|69,99₽/шт|https://media.vprok.ru/products/x700/3k/l6/k6zff4kchhvedeac6uzhh6ecam7dl63k.jpeg|https://www.vprok.ru/product/rot-front-karamel-myatnaya-250g--309347
867|Конфеты Марсианка Три шоколада с комбинированными кремовыми начинками 200г||Сладкий орешек|Марсианка|Россия|0.2 кг||Сахар, жиры растительные, сыворотка молочная сухая деминерализованная, какао-порошок, рис воздушный с какао (крупа рисовая, сахар, мука пшеничная, какао-порошок, соль), патока, эмульгаторы: лецитин соевый, Е492; стабилизатор гуммиарабик, ароматизаторы||580.0|3 г|39 г|55 г|273 дня|110₽/шт|https://media.vprok.ru/products/x700/vl/u2/fmxowssv7sn5oz2robgskahamtmdu2vl.jpeg|https://www.vprok.ru/product/marsianka-marsian-kon-tri-shok-s-kom-kr-nach-gl-200g--1034439
868|Филе бедра Петелинка куриное без кожи 750г|Филе бедра Петелинка куриное без кожи 750г – вкусное, нежное, сочное мясо, очищенное от косточек и кожи. Прекрасно подходит для запекания в духовке, жарки на сковороде, приготовления на гриле или мангале. Служит ценным источником витаминов, микроэлементов и белка. Для производства используется мясо птицы, выращенной на птицеферме в комфортных условиях. Цыплята с рождения живут в специальных ангарах, где могут свободно перемещаться. Натуральный зерновой откорм, современные технологии переработки и тщательный контроль на всех этапах производства позволяют выпускать высококачественную и безопасную продукцию. Продукт не содержит ГМО, гормонов роста и антибиотиков. Охлажденное филе упаковано в лоток.|Петелинская птицефабрика|Петелинка|Россия|0.75 кг||Бедро куриное||190.0|16 г|14 г|0 г|8 дней|379₽/шт|https://media.vprok.ru/products/x700/fk/is/trc4xzyr2ns76ep3pbf46uuvkulvisfk.jpeg|https://www.vprok.ru/product/petelinka-petel-file-bedra-tsb-bkoji-750g--697515
869|Торт Leberge Малиновый замороженный 1070г||ООО Ринарди|Leberge|Россия|1.07 кг||сливки 33% ,шоколад белый( сахар, какао масло, молоко сухое цельное,ароматизатор натуральный пищевой ванилин,эмульгатор-лецитин),пюре малина, меланж, гель клубничный(сахар, вода, сироп глюкозы, пюре клубники, загуститель-пектин, регуляток кислотности-лимонная кислота, ароматизатор, краситель кармин), желатин, арахис, мука пш. в/с,пюре апельсина, разрыхлитель теста (регулятор кислотности-сода пищевая, кукурузный крахмал, регулятор кислотности лимонная кислота), сахар, соль.|Бисквитный, Муссовый, Фруктово-ягодный мусс|320.0|4.2 г|16.7 г|37.5 г|90 дней|1 500₽/шт|https://media.vprok.ru/products/x700/xq/2y/d35faf2ewpkzedbqlcq46zlgf5qx2yxq.jpeg|https://www.vprok.ru/product/leberge-tort-malinovyy-1070-g-leberge--1130462
870|Кофе в капсулах Don Carlos Espresso Bar 16шт||Caffe Carraro S.p.A.|Don Carlos|Италия|0.32 кг||Кофе натуральный жареный молотый с кофеином||200.0|13.9 г|14.4 г|4.1 г|730 дней|712₽/шт|https://media.vprok.ru/products/x700/bp/bq/uw2kzjeqpnzehkri3j6mtsox5auubqbp.jpeg|https://www.vprok.ru/product/kapsuly-don-carlos-espresso-bar-16shdg--1240857
871|Мидии и кальмар Меридиан в желе с зеленью 200г|Мидии и кальмар Меридиан в желе с зеленью 200г производятся из морепродуктов, выловленных у западного побережья Южной Америки. Отборное сырье очищается и обрабатывается по современным технологиям, позволяющим максимально сохранить аккуратный внешний вид и уникальный вкус продукта. Отварные мидии и кальмары в пряном желе со специями, петрушкой, паприкой и чесноком - это готовый к употреблению деликатес, который можно сразу подавать к столу в качестве изысканной закуски или основного блюда с теплым гарниром и соусом. Герметичная вакуумная упаковка.|Меридиан||Россия|0.2 кг||Мидии и кальмар отварные соленые, вода, желирующий компонент - желатин, регуляторы кислотности: винная, лимонная, яблочная кислоты, соль, специи, петрушка, паприка, чеснок. Консерванты Е-211, Е-202||50.0|9.5 г|1.1 г||75 дней|155₽/шт|https://media.vprok.ru/products/x700/gy/s2/wwwz2g6ysldwuthympu6d7nidfcys2gy.jpeg|https://www.vprok.ru/product/meridian-merid-midiikalm-otv-v-jele-s-zel-200g--306364
872|Килька Балтийский Берег холодного копчения 200г||Балтийский Берег|Балтийский Берег|Россия|0.2 кг||Килька обыкновенная каспийская (Clupeonella cultriventris caspia), соль. Состав газовой смеси: азот, двуокись углерода||190.0|22 г|11 г|0 г|60 дней||https://media.vprok.ru/products/x700/yp/j3/tn5dxyz7gocenbslt3z4mk7vf6roj3yp.jpeg|https://www.vprok.ru/product/baltiyskiy-bereg-balt-ber-kilka-kas-hk-nr200g--1083277
873|Масло подсолнечное Ароматы жизни нерафинированное из жареных семечек 250мл||Бизнесойл|Ароматы жизни|Россия||0.25 л|100% нерафинированное подсолнечное масло|Подсолнечное|899.0||99.9 г||243 дня|104,9₽/шт|https://media.vprok.ru/products/x700/ua/r2/kzfagi6lpubj7gxqsnetiylgketpr2ua.jpeg|https://www.vprok.ru/product/aromaty-jizni-maslo-pods-nr-iz-jar-sem-250ml--357987
874|Колбаса Черкизово Сальчичон сырокопченая 0.6-0.9кг||Черкизовский МПЗ|Черкизово|Россия|||Свинина, шпик, соль, пищевые волокна, молоко сухое, виноградный сахар, специи (черный перец, горчица), усилитель вкуса и аромата (глутамат натрия 1-замещенный), стабилизатор (пирофосфаты), регулятор кислотности (трифосфаты), антиокислитель (аскорбиновая кислота), ароматизатор, экстракт мускатного цвета,  стартовая культура, фиксатор окраски - нитрит натрия||336.0|17 г|34 г|1 г|150 дней|1 567₽|https://media.vprok.ru/products/x700/zj/ie/erdzozgp63hyzlpiqw6hwkgpge6jiezj.jpeg|https://www.vprok.ru/product/cherkizovo-cherk-kolbasa-salchichon-sk-1kg--856829
875|Помидоры Зира Азербайджан 350г||||Азербайджан|||||||||14 дней|259₽/шт|https://media.vprok.ru/products/x700/lk/vi/o2vjupwr2jsx4oio2pe67pe5wx6avilk.jpeg|https://www.vprok.ru/product/tomat-zira-azerbaydjan-350g--1020497
876|Слайсы рисовые Choko Style в белой глазури 68г||Продпоставка|Choko Style|Россия|0.068 кг||"Рис, глазурь(заменитель масла какао лауринового типа, сухие молочные продукты, сахар, эмульгатор лецитин (Е322), ароматизатор идентичный натуральному ""Ванилин"")"|Рисовые|440.0|5 г|18 г|63 г|365 дней||https://media.vprok.ru/products/x700/qs/3n/vuziwqfve7nfn3dqchvjr4mn3hgb3nqs.jpeg|https://www.vprok.ru/product/choko-stayl-ris-slay-v-bgl-68g--1019821
877|Напиток чайный Natures Own Factory Гречишный 10*3г||Фабрика Природы|Natures Own Factory|Россия|0.03 кг||Семена татарской гречихи||303.0|17.7 г|1.8 г|54 г|730 дней|309,9₽/шт|https://media.vprok.ru/products/x700/vs/j7/y62nus7z27qxjxvfp2f6en4u4hqxj7vs.jpeg|https://www.vprok.ru/product/natures-own-factory-nat-own-f-nap-chayn-grechish-10h3g--671950
878|Кукуруза Green Ray Молодая без сахара 425мл|Кукуруза Green Ray Молодая без сахара 425мл – диетический продукт. Производится по оригинальной рецептуре из ранней кукурузы, выращенной на собственных полях компании в Краснодарском крае. Эти зернышки сами по себе настолько сладкие, что не требуют добавления сахара. Цельные, ярко-желтые, нежные и очень хрустящие, они добавят сочности в любой салат, а также послужат идеальным дополнением к вашему гарниру. Кукуруза растет исключительно в открытом грунте. Ее собирают на пике зрелости, а уже через 3 часа после сбора закатывают в банки. Использование новейшего оборудования и особая технология стерилизации позволяют сохранить в ней все полезные свойства, витамины и минералы. Продукция не содержит замороженных ингредиентов, ГМО, искусственных красителей, консервантов и усилителей вкуса.|Техада|Green Ray|Россия|0.4 кг|0.425 л|Кукуруза сахарная целыми зернами, вода питьевая, соль||40.0|2 г||8.5 г|1460 дней|134₽/шт|https://media.vprok.ru/products/x700/6p/fz/qzpn6ezlsnoxw33h335n36zjryuifz6p.jpeg|https://www.vprok.ru/product/green-ray-gr-ray-kuk-mol-sah-bsah-425ml--961659
879|Семечки Богучарские очищенные жареные подсоленные 75г||Агро-Спутник|Богучарские|Россия|0.075 кг||Ядра семян подсолнечника жареные (цельные), соль||600.0|22.3 г|56.3 г|3.6 г|120 дней||https://media.vprok.ru/products/x700/cp/65/e5chb5a76avlb4jcbxptle5sqndy65cp.jpeg|https://www.vprok.ru/product/bogucharskie-boguchar-yadra-sem-pods-podsol75g--553031
880|Манго кубики 200г||||Россия|0.2 кг||||60.0|0.8 г|0.4 г|13.4 г|4 дня|299₽/шт|https://media.vprok.ru/products/x700/ja/4b/u4h65ggvesva7tsm3fhxy73phnou4bja.jpeg|https://www.vprok.ru/product/mango-kubiki-narezannye-200-g--1214988
881|Салат Арамье Мимоза 500г||ТД Арамье|Арамье|Россия|0.5 кг||Майонез(масло подсолнечное рафинированное дезодорированное, вода, сахар, яичный желток, соль, загуститель крахмал модифицированный, регулятор кислотности уксусная кислота, консервант сорбиновая кислота, стабилизатор ксантановая камедь, ароматизатор, антиокислитель ЭДТА, кальций-натрий, краситель бета-каратин), картофель, горбуша консервированная(рыба (кусочки горбуши), соль), яйцо куриное, морковь, сыр Гауда(молоко пастеризованное, соль, уплотнитель -хлорид кальция, молокосвертывающий ферментный препарат микробиального происхождения, бактериальные закваски мезофильных и термофильных молочнокислых микроорганизмов)||280.1|10.7 г|25.3 г|2.4 г|7 дней|430₽/шт|https://media.vprok.ru/products/x700/3i/kx/65wolqgwpoxqtvwwlpewk3tr7esikx3i.jpeg|https://www.vprok.ru/product/arame-nt-salat-mimoza-0-5-kg-mga--1179766
882|Продукт овсяный питьевой Velle Облепиха 250мл|Продукт овсяный питьевой Velle Облепиха 250г - это уникальный ферментированный напиток для вашего здоровья. Он производится из северных сортов овса, выращенных в России и Финляндии. В его состав входят овсяные хлопья и отруби, полезные пробиотики (лактобактерии и бифидобактерии), а также наполнитель на основе ягодного пюре с натуральными ароматизаторами и красителями. Он бережно обволакивает стенки желудка, стимулирует пищеварение и дарит чувство сытости без лишних калорий (всего 50ккал на 100г). Эргономичная бутылочка, которую приятно держать в руке и удобно брать с собой в качестве здорового перекуса.|Velle||Россия||0.25 л|Овсяная основа (вода, овсяные хлопья, овсяные отруби, фруктоза, закваска (пробиотические культуры: Lactobacillus acidophilus, Bifidobacterium)), фруктовый наполнитель «Облепиха» (сахар, пюре из облепихи, глюкозно-фруктозный сироп, яблочное пюре, загуститель: пектин; натуральный ароматизатор, концентрированный лимонный сок; красители: каротин, экстракт паприки)||50.0|0.5 г|0.4 г|11 г|40 дней|81,99₽/шт|https://media.vprok.ru/products/x700/rt/my/y5mk7ms2tg45huujnmjmspinwgpkmyrt.jpeg|https://www.vprok.ru/product/velle-prod-velle-ovsyan-s-oblep-f-250g--309375
883|Икра лососевая 140г|Икра лососевая 140г - это традиционный русский деликатес для вашего праздничного застолья. Вкус у икры универсальный, умеренно соленый; икринки оранжевые, среднего размера. Допускается легкий привкус горечи. Такая икра отлично подходит для приготовления бутербродов, канапе и корзиночек, а также для украшения праздничных блюд. Угощенья с икрой следует подавать непосредственно перед началом застолья (спустя полчаса икринки заветриваются и теряют свой аппетитный вид). Продукт упакован в жестяную банку с ключом на крышке.|||Россия|0.14 кг||||||||365 дней|918₽/шт|https://media.vprok.ru/products/x700/ao/px/xvnffvtjm24n3qhyqjfnzwe44bsppxao.jpeg|https://www.vprok.ru/product/tender-ikra-lososevyh-ryb-jb-140g--306358
884|Кофе в капсулах Lebo Vanilla 10шт||Lebo||Россия|0.055 кг||Кофе натуральный жаренный молотый 100% Арабика||98.6|13.5 г|6 г|4 г|365 дней|380₽/шт|https://media.vprok.ru/products/x700/gw/cq/rujueu7ls6wlssptny2banrlhk63cqgw.jpeg|https://www.vprok.ru/product/lebo-lebo-vanilla-v-kaps-10h5-5g--983330
885|Тесто Bontier Филло 500г||Альтернатива|Bontier|Россия|0.5 кг||||320.0|11 г|2.5 г|63 г|365 дней|219,9₽/шт|https://media.vprok.ru/products/x700/xm/fi/4pjhrman4lecqs6h2hxubufyhuqvfixm.jpeg|https://www.vprok.ru/product/bontier-bont-poluf-fila-testo-bzam500g--839032
886|Шампиньоны Королевские 0.4-0.7кг|Шампиньоны Королевские отличаются крупным размером и коричневой округлой шляпкой. Мякоть – мясистая, плотная, бело-розового цвета, обладает выраженным грибным вкусом и приятным ароматом. Благодаря высокому содержанию лизина и аргинина шампиньоны улучшают работу нервной и иммунной систем. Богаты белком, витаминами, минералами и аминокислотами. Полезны для костной ткани и пищеварения, оказывают противовоспалительное и очищающее действие. Рекомендованы для диетического и вегетарианского типов питания. Употребляются в обжаренном, отварном или запеченном виде. Подходят для приготовления аппетитных закусок, салатов, соусов, супов и выпечки.||||||Шампиньоны||27.4|4.3 г|1 г||14 дней|289₽|https://media.vprok.ru/products/x700/pp/cf/fjy5ixrtum33tcip2bt4zrxpx4jmcfpp.jpeg|https://www.vprok.ru/product/griby-shampinony-korol-svej-1kg--476443
887|Котлета Вкусные истории Домашняя 200г||ТД Арамье|Вкусные истории|Россия|0.2 кг||Филе бедра куриное, свинина , лук репчатый, хлеб белый (мука пшеничная хлебопекарная в/с, вода, сахар, масло подсолнечное рафинированное дезодорированное, соль, дрожжи прессованные), говядина, масло подсолнечное рафинированное дезодорированное, соль, перец черный молотый||232.96|13.55 г|16.88 г|6.71 г|180 дней|342₽/шт|https://media.vprok.ru/products/x700/ie/do/56757wnvxh5xmeewnt6qpaiqnyecdoie.jpeg|https://www.vprok.ru/product/vkusnye-istorii-vi-kotleta-domashnyaya-200-gr-zamorojen--1138620
888|Томаты Маркет Перекресток протертые 200г||Conserve Italia|Маркет Перекресток|Италия|0.2 кг||томаты, соль, регулятор кислотности, лимонная кислота.||25.0|||||59,9₽/шт|https://media.vprok.ru/products/x700/nw/dv/4amzuafon6ldqmxi3jw5i6zk3xwrdvnw.jpeg|https://www.vprok.ru/product/market-perekrestok-mark-per-tomaty-protertye-200g--956895
889|Сахар Маркет Перекресток тростниковый 1кг|||Маркет Перекресток|Россия|1 кг||Сахар||396.0|||99 г|1460 дней|269₽/шт|https://media.vprok.ru/products/x700/f3/sb/gtvhdsaigp2r4fd6hun4jvchkmddsbf3.jpeg|https://www.vprok.ru/product/market-perekrestok-mark-per-sahar-tr-nr-kr-1000g--393429
890|Конфеты Mamba жевательные волшебный твист 150г||August Storck KG|Mamba|Германия|0.15 кг||Сахар, глюкозный сироп, растительное масло, агент влагоудерживающий сорбитовый сироп (Е 420ii), желатин, регулятор кислотности лимонная кислота (Е 330), ароматизаторы, концентрат черной моркови, концентрат спирулины, краситель куркумин (Е100), концентрированный сок клубники, пюре из черной смородины|Жевательные|||||540 дней|129,99₽/шт|https://media.vprok.ru/products/x700/c2/by/zea2ssbtrky47iaixih3k74bx7fvbyc2.jpeg|https://www.vprok.ru/product/mamba-stor-konf-m-volsh-tv-ass-vk-150g--868470
891|Вода Архыз Легенда Гор минеральная негазированная 1.5л||Аквалайн|Архыз|Россия||1.5 л|||||||549 дней|49,99₽/шт|https://media.vprok.ru/products/x700/w5/ql/g7lzkw5isglsacoajm5ujmwu47vvqlw5.jpeg|https://www.vprok.ru/product/arhyz-arhyz-voda-leg-gor-negaz-1-5l--404154
892|Квас Зеленая линия Овсяный с мятой 1л||Фонтан|Зеленая линия|Россия||1 л|специально подготовленная вода, сахар, овес ферментированный, концентрат квасного сусла (мука ржаная, мука кукурузная, солод ржаной ферментированный и неферментированный, солод ячменный), мята, дрожжи хлебопекарные||30.0|||7.5 г|40 дней|110₽/шт|https://media.vprok.ru/products/x700/pj/qc/mheoyaxpmjjyu4dknvfxiuu3okdmqcpj.jpeg|https://www.vprok.ru/product/zelenaya-liniya-zel-lin-kvas-ovsyanyy-s-myatoy-1l--1072719
893|Окорок Останкино Российский копчено-вареный нарезка 150г|Окорок Останкино Российский копчено-вареный нарезка 150г - ломтики нежного и сочного мяса, которые великолепно подойдут для сэндвичей и бутербродов, салатов, закусок и выпечки. Окорок отлично сочетается с овощами, сыром или зеленью. Он очень сытный и питательный, что делает этот мясной продукт идеальным для завтрака и перекуса. Удобная вакуумная упаковка, которую легко открыть. Останкинский мясоперерабатывающий комбинат - ведущий производитель мясных деликатесов и полуфабрикатов, которые изготавливаются по международным стандартам на новейшем немецком и австрийском оборудовании.|ОМПК|Останкино|Россия|0.15 кг||Свинина, вода, соль, комплексные пищевые добавки (регуляторы кислотности: Е450(I,iii,v), E451(i), E262(i), E331(i); стабилизатор Е452(i), сахар, антиокислитель Е301, ароматизатор, экстракты пряностей, фиксатор окраски Е250); пшеничная клетчатка, молочный белок, животный белок||245.0|14 г|21 г|0 г|45 дней|199₽/шт|https://media.vprok.ru/products/x700/f3/up/z47nedmfkp7j5ng6l7amuryfpfmmupf3.jpeg|https://www.vprok.ru/product/ostankino-ostankino-okorok-rossiyskiy-vs-vu-150g--306479
894|Котлеты Мираторг По-киевски 405г||Брянская мясная компания|Мираторг|Россия|0.405 кг||Мясо куриное, вода питьевая, мука (пшеничная, кукурузная), масло сливочное (содержит лактозу), масло подсолнечное, крахмал (картофельный, кукурузный), соль, белок соевый, мальтодекстрин, загустители (ксантановая камедь, гуаровая крахмал), дрожжи, экстракт дрожжевой (содержит ячмень), антиокислитель аскорбиновая кислота, волокна пищевые (клетчатка пшеничная), ароматизаторы (содержит лактозу, усилитель вкуса и аромата Е621), ароматизатор натуральный, куркума, паприка, красители (аннато, экстракт паприки), петрушка сушеная. На предприятии используются продукты переработки: молока, яиц, горчицы, сои, сельдерея, злаков и сульфитов||204.0|10.5 г|12.2 г|13 г|424 дня||https://media.vprok.ru/products/x700/r3/lh/xo63oosrkmcrqp3nxudk4ot7wqd2lhr3.jpeg|https://www.vprok.ru/product/miratorg-miratorg-kotlety-po-kievski-405g--309712
895|Капуста Лукашинские квашеная по-домашнему с морковью 670г||Росконсервпродукт|Лукашинские|Россия|0.67 кг|0.67 л|Капуста белокачанная, морковь, вода ,соль||18.0|1.5 г|0 г|3 г|1095 дней|183₽/шт|https://media.vprok.ru/products/x700/me/6x/p7vetmmxi6iutdjey4mjzou4t3eb6xme.jpeg|https://www.vprok.ru/product/lukashinskie-lukashin-kap-kvash-dommork-670g--1019680
896|Напиток миндальный Nemoloko Barista обогащенный витаминами и минеральными веществами 1.3% 1л||Сады Придонья|Nemoloko|Россия||1 л|Вода, миндаль (паста ядер орехов миндаля обжаренных) 2,5%, сахар, витаминно-минеральный премикс (витамин D2, витамин В2, кальций (трикальций фосфат), кальция карбонат, стабилизатор Е471, стабилизатор – каррагинан, соль||32.0|0.4 г|1.3 г|2.7 г|365 дней|210₽/шт|https://media.vprok.ru/products/x700/wn/dn/2yy3diwp35rwxdq4cbsry4lcz4podnwn.jpeg|https://www.vprok.ru/product/nemoloko-nem-napitok-mindalnyy-obog-1l--1008682
897|Сок Апельсиновый прямого отжима 250мл|Сок Апельсиновый прямого отжима 250мл производится непосредственно под ваш заказ из отборных апельсинов, прошедших многоступенчатый контроль качества. Плоды тщательно промывают, высушивают, а затем помещают в соковыжималку. Сок не подвергается термообработке или пастеризации, а весь процесс изготовления и розлива осуществляется при температуре не более +4°C. Это позволяет сохранить в напитке максимум ценных веществ, которыми богаты свежие фрукты. Свежевыжатый сок не содержит искусственных добавок и сахара, благодаря чему отлично впишется в рацион всех приверженцев здорового питания. Он порадует вас по-настоящему натуральным кисло-сладким вкусом и нежной консистенцией с небольшим количеством фруктовой мякоти. Упаковка – стерильная бутылочка. Срок хранения в холодильнике – не более 48 часов.|||Россия||0.25 л|Апельсины свежие||32.4|0 г|0 г|8.1 г|2 дня|180₽/шт|https://media.vprok.ru/products/x700/6d/ko/hrqiipcf4gz3alsbquybfggc2twwko6d.jpeg|https://www.vprok.ru/product/perekrestok-spk-sok-apelsin-pryam-otj-0-25l--332517
